IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
34.116.225.173	443	TRUE	FRA	Europe	Frankfurt	265 ms	905 kB/s
34.89.250.229	443	TRUE	FRA	Europe	Frankfurt	269 ms	860 kB/s
34.116.246.250	443	TRUE	FRA	Europe	Frankfurt	271 ms	850 kB/s
34.118.32.217	443	TRUE	FRA	Europe	Frankfurt	264 ms	831 kB/s
34.116.218.15	443	TRUE	FRA	Europe	Frankfurt	258 ms	796 kB/s
35.198.147.204	443	TRUE	FRA	Europe	Frankfurt	240 ms	787 kB/s
34.82.188.91	443	TRUE	SEA	North America	Seattle	306 ms	755 kB/s
34.141.68.141	443	TRUE	FRA	Europe	Frankfurt	245 ms	740 kB/s
34.116.181.51	443	TRUE	FRA	Europe	Frankfurt	281 ms	729 kB/s
34.118.100.60	443	TRUE	FRA	Europe	Frankfurt	263 ms	726 kB/s
34.116.206.219	443	TRUE	FRA	Europe	Frankfurt	274 ms	707 kB/s
34.141.33.67	443	TRUE	FRA	Europe	Frankfurt	244 ms	648 kB/s
35.198.72.54	443	TRUE	FRA	Europe	Frankfurt	256 ms	630 kB/s
34.154.198.179	443	TRUE	FRA	Europe	Frankfurt	246 ms	444 kB/s
34.116.149.43	443	TRUE	FRA	Europe	Frankfurt	263 ms	163 kB/s
35.230.79.26	443	TRUE	SEA	North America	Seattle	252 ms	160 kB/s
34.66.72.229	443	TRUE	ORD	North America	Chicago	361 ms	140 kB/s
35.247.124.181	443	TRUE	SEA	North America	Seattle	279 ms	134 kB/s
35.197.23.75	443	TRUE	SEA	North America	Seattle	275 ms	128 kB/s
34.141.52.103	443	TRUE	FRA	Europe	Frankfurt	239 ms	118 kB/s
34.91.156.200	443	TRUE	FRA	Europe	Frankfurt	268 ms	112 kB/s
34.82.76.253	443	TRUE	SEA	North America	Seattle	279 ms	89 kB/s
34.41.252.92	443	TRUE	ORD	North America	Chicago	343 ms	61 kB/s
34.123.83.237	443	TRUE	ORD	North America	Chicago	364 ms	42 kB/s
34.118.9.165	443	TRUE	FRA	Europe	Frankfurt	260 ms	35 kB/s
34.118.85.50	443	TRUE	FRA	Europe	Frankfurt	269 ms	0 kB/s
35.204.36.164	443	TRUE	FRA	Europe	Frankfurt	261 ms	0 kB/s
34.116.171.221	443	TRUE	FRA	Europe	Frankfurt	253 ms	0 kB/s
34.34.50.184	443	TRUE	FRA	Europe	Frankfurt	258 ms	0 kB/s
34.105.49.234	443	TRUE	SEA	North America	Seattle	291 ms	0 kB/s
34.118.6.177	443	TRUE	FRA	Europe	Frankfurt	267 ms	0 kB/s
34.118.48.148	443	TRUE	FRA	Europe	Frankfurt	261 ms	0 kB/s
35.236.55.171	443	TRUE	LAX	North America	Los Angeles	312 ms	0 kB/s
34.116.249.207	443	TRUE	FRA	Europe	Frankfurt	284 ms	0 kB/s
34.154.137.95	443	TRUE	FRA	Europe	Frankfurt	231 ms	0 kB/s
34.159.155.122	443	TRUE	FRA	Europe	Frankfurt	250 ms	0 kB/s
34.154.203.247	443	TRUE	FRA	Europe	Frankfurt	248 ms	0 kB/s
34.118.100.32	443	TRUE	FRA	Europe	Frankfurt	276 ms	0 kB/s
34.154.185.105	443	TRUE	FRA	Europe	Frankfurt	271 ms	0 kB/s
